cleaned_name,occurrences,correct_name
santafedosul,317,Santa Fe Do Sul
maceió,315,Maceio
santaritadosapucai,314,Santa Rita Do Sapucai
vacaria,313,Vacaria
lucasdorioverde,309,Lucas Do Rio Verde
uniaodavitoria,308,Uniao Da Vitoria
santiago,308,Santiago
adamantina,306,Adamantina
aparecida,306,Aparecida
leopoldina,306,Leopoldina
eunapolis,305,Eunapolis
carazinho,305,Carazinho
japeri,302,Japeri
guanambi,302,Guanambi
riograndedaserra,301,Rio Grande Da Serra
presidentevenceslau,299,Presidente Venceslau
montecarmelo,299,Monte Carmelo
saolourenco,297,Sao Lourenco
saojosé,296,Sao Jose
sapiranga,296,Sapiranga
paranavai,295,Paranavai
arraialdocabo,294,Arraial Do Cabo
mogiguacu,291,Mogi Guacu
santosdumont,289,Santos Dumont
cambe,289,Cambe
saoluís,288,Sao Luis
barrabonita,287,Barra Bonita
piraju,287,Piraju
ibitinga,286,Ibitinga
arapiraca,286,Arapiraca
cachoeirapaulista,285,Cachoeira Paulista
aracruz,285,Aracruz
santoantoniodejesus,284,Santo Antonio De Jesus
valparaisodegoias,284,Valparaiso De Goias
canela,284,Canela
macaé,283,Macae
cornelioprocopio,283,Cornelio Procopio
marília,281,Marilia
tiete,281,Tiete
alemparaiba,281,Alem Paraiba
vassouras,280,Vassouras
campobelo,280,Campo Belo
olimpia,277,Olimpia
medianeira,277,Medianeira
torres,277,Torres
mairinque,276,Mairinque
nanuque,276,Nanuque
promissao,274,Promissao
chapadaodosul,274,Chapadao Do Sul
marechalcandidorondon,274,Marechal Candido Rondon
novaodessa,273,Nova Odessa
capaobonito,273,Capao Bonito
gurupi,272,Gurupi
saogabriel,271,Sao Gabriel
tremembe,269,Tremembe
indaial,269,Indaial
panambi,269,Panambi
novohorizonte,265,Novo Horizonte
mafra,265,Mafra
canoinhas,265,Canoinhas
caete,264,Caete
osorio,264,Osorio
xanxere,263,Xanxere
orlandia,262,Orlandia
piraquara,262,Piraquara
arcos,261,Arcos
baraodecocais,261,Barao De Cocais
jequie,261,Jequie
gaspar,261,Gaspar
curitibanos,261,Curitibanos
jacareí,260,Jacarei
palmital,260,Palmital
frutal,260,Frutal
saofranciscodosul,260,Sao Francisco Do Sul
tramandai,260,Tramandai
espiritosantodopinhal,259,Espirito Santo Do Pinhal
santoantoniodepadua,257,Santo Antonio De Padua
camaragibe,256,Camaragibe
miguelpereira,255,Miguel Pereira
bomjesusdoitabapoana,255,Bom Jesus Do Itabapoana
carangola,255,Carangola
castro,255,Castro
saojosédospinhais,254,Sao Jose Dos Pinhais
osvaldocruz,253,Osvaldo Cruz
caucaia,252,Caucaia
altamira,251,Altamira
itajaí,251,Itajai
timbo,251,Timbo
extrema,250,Extrema
varzeapaulista,249,Varzea Paulista
irati,249,Irati
